name,norad_cat_id,classification,int_designator,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination,raan,eccentricity,arg_of_perigee,mean_anomaly,mean_motion,rev_number,anomaly_label
STARLINK-34015,63854,U,25093U,25,280.13280815,0.00037082,0.0,1349200.0,0,999,43.0016,225.4354,0.0001634,267.9788,92.0876,15.27606585,2432,0
STARLINK-33969,63855,U,25093V,25,280.23273537,0.00052795,0.0,1911900.0,0,999,43.0047,224.4641,0.0001918,261.628,98.4354,15.27621778,2428,0
STARLINK-34002,63856,U,25093W,25,280.2417348,0.00027485,0.0,1003600.0,0,999,43.0032,224.5375,0.0001614,259.8531,100.2139,15.27611294,2428,0
STARLINK-33999,63857,U,25093X,25,280.22759439,0.00037693,0.0,1370500.0,0,999,43.0038,224.4093,0.0001551,270.8336,89.2338,15.27622322,2450,0
STARLINK-33976,63858,U,25093Y,25,280.17120612,0.00057144,0.0,2068300.0,0,999,43.005,224.8476,0.0002016,272.217,87.8451,15.27607791,2433,0
STARLINK-33821,63859,U,25093Z,25,280.18533925,0.00040412,0.0,1468800.0,0,999,43.0028,224.9475,0.0001683,276.2373,83.8287,15.27608471,2447,0
STARLINK-33888,63860,U,25093AA,25,280.24302184,0.00024123,0.0,88275000.0,0,999,43.20001247129413,224.5434,0.0001228,302.2933,57.78,15.27600127,2450,1
STARLINK-33896,63861,U,25093AB,25,280.24815377,0.0002024,0.0,74283000.0,0,999,43.0051,224.5841,0.000211,247.0673,112.9956,15.27587123,2428,0
STARLINK-33878,63862,U,25093AC,25,280.24943887,0.00037371,0.0,1358800.0,0,999,43.004,224.5643,0.0001654,270.9796,89.0866,15.2762417,2449,0
STARLINK-33954,63863,U,25093AD,25,280.25715183,0.0003612,0.0,1314200.0,0,999,43.003,224.6461,0.0001687,270.3874,89.6784,15.27617926,2428,0
STARLINK-33863,63864,U,25094A,25,280.24461132,-6.688e-05,0.0,-55316000.0,0,999,69.999,261.547,0.0002937,268.8793,91.203,14.98337517,2421,0
STARLINK-33897,63865,U,25094B,25,280.28757294,4.555e-05,0.0,38123000.0,0,999,70.29558452153067,261.2906,0.0002735,273.6923,86.3923,14.99144159,2444,1
STARLINK-34022,63866,U,25094C,25,280.29485404,5.826e-05,0.0,49553000.0,0,999,70.0007,261.3145,0.0002512,266.5097,93.5774,14.98342994,2422,0
STARLINK-33979,63867,U,25094D,25,280.28937853,-5.539e-05,0.0,-267513385.5083498,0,999,70.0001,261.3003,0.00029,269.1281,90.9546,14.99132391,2422,1
STARLINK-34007,63868,U,25094E,25,280.24373076,0.00010089,0.0,83481000.0,0,999,69.9994,261.5409,0.0003268,266.3924,93.6862,14.99124378,2421,0
STARLINK-34006,63869,U,25094F,25,280.26768209,2.534e-05,0.0,21559000.0,0,999,70.0006,261.2201,0.0002748,269.8505,90.2339,14.99140177,2422,0
